Species	Temp	BodyWeight	g	Diet
Acartia	19	3.98	0.37	O
Acartia	19	3.98	0.613	O
Acartia	15	3.98	0.104	O
Acartia	15	3.98	0.046	O
Acartia	15	3.98	0.035	O
Acartia	6	24	0.006	O
Acartia	6	24	0.01	O
Acartia	6	24	0.009	O
Acartia	6	24	0.053	O
Acartia	6	24	0.029	O
Acartia	6	24	0.027	O
Acartia	6	24	0.109	O
Acartia	6	24	0.147	O
Acartia	6	24	0.147	O
Acartia	6	24	0.08	O
Acartia	6	24	0.16	O
Acartia	6	24	0.229	O
Acartia	6	24	0.072	O
Acartia	6	24	0.037	O
Acartia	6	24	0.053	O
Acartia	6	24	0.083	O
Acartia	7.5	2.67	0.324	O
Acartia	9	2.67	0.153	O
Acartia	12	2.67	0.03	O
Acartia	12	2.67	0.187	O
Acartia	12	2.67	0.143	O
Acartia	12	2.67	0.276	O
Acartia	12	2.67	0.02	O
Acartia	27.5	2.62	0.002	O
Acartia	23	4.43	0.008	O
Acartia	22	3.79	0.025	O
Acartia	21.5	3.34	0.014	O
Calanoides	3.5	228	0.013	O
Calanus	0.5	135	0.036	O
Calanus	0.5	135	0.039	O
Calanus	0.5	135	0.03	O
Calanus	0.5	135	0.062	O
Calanus	0.5	135	0.066	O
Calanus	0.5	135	0.007	O
Calanus	0.5	135	0.011	O
Calanus	0.5	135	0.016	O
Calanus	0.5	135	0.018	O
Calanus	0.5	135	0.036	O
Calanus	0.5	135	0.046	O
Calanus	0.5	135	0.03	O
Calanus	0.5	135	0.041	O
Calanus	0.5	135	0.039	O
Calanus	0.5	135	0.039	O
Calanus	0.5	135	0.064	O
Calanus	0.5	135	0.036	O
Calanus	0.5	135	0.027	O
Calanus	0.5	135	0.052	O
Calanus	0.5	135	0.053	O
Calanus	0.5	135	0.021	O
Calanus	135	0.014	35	O
Calanus	135	0.025	35	O
Calanus	135	0.032	35	O
Calanus	135	0.037	35	O
Calanus	135	0.043	35	O
Calanus	135	0.08	35	O
Calanoides	17	49.2	0.096	O
Calanus	17	81	0.056	O
Calanus	19	80.8	0.03	O
Calanus	19	80.8	0.03	O
Calanus	19	80.8	0.02	O
Calanus	19	80.8	0.02	O
Calanus	19	80.8	0.02	O
Calanus	19	80.8	0.01	O
Calanus	19	80.8	0.04	O
Calanus	19	80.8	0.02	O
Calanus	19	80.8	0.04	O
Calanus	19	80.8	0.04	O
Calanus	19	80.8	0.03	O
Calanus	19	80.8	0.02	O
Calanus	19	1.6	0.42	O
Calanus	19	3.6	0.26	O
Calanus	19	3.6	0.43	O
Calanus	19	8.8	0.23	O
Calanus	19	8.8	0.21	O
Calanus	19	18.4	0.07	O
Calanus	19	18.4	0.1	O
Calanus	19	38.8	0.05	O
Calanus	19	38.8	0.06	O
Calanus	19	1.6	0.24	O
Calanus	19	1.6	0.63	O
Calanus	19	3.6	0.34	O
Calanus	19	3.6	0.33	O
Calanus	19	8.8	0.29	O
Calanus	19	8.8	0.26	O
Calanus	19	18.4	0.13	O
Calanus	19	18.4	0.1	O
Calanus	19	38.8	0.07	O
Calanus	19	38.8	0.02	O
Calanus	19	0.8	0.42	O
Calanus	19	0.8	0.45	O
Calanus	19	1.6	0.55	O
Calanus	19	1.6	0.54	O
Calanus	19	3.6	0.51	O
Calanus	19	3.6	0.58	O
Calanus	19	8.8	0.46	O
Calanus	19	8.8	0.28	O
Calanus	19	18.4	0.22	O
Calanus	19	18.4	0.16	O
Calanus	19	38.8	0.07	O
Calanus	19	38.8	0.08	O
Calanus	19	0.8	0.49	O
Calanus	19	0.8	0.58	O
Calanus	19	1.6	0.45	O
Calanus	19	1.6	0.45	O
Calanus	19	3.6	0.33	O
Calanus	19	3.6	0.39	O
Calanus	19	8.8	0.37	O
Calanus	19	8.8	0.22	O
Calanus	19	18.4	0.17	O
Calanus	19	18.4	0.22	O
Calanus	19	38.8	0.1	O
Calanus	19	38.8	0.08	O
Calanus	19	0.8	0.35	O
Calanus	19	0.8	0.51	O
Calanus	19	1.6	0.37	O
Calanus	19	1.6	0.52	O
Calanus	19	3.6	0.26	O
Calanus	19	3.6	0.4	O
Calanus	19	8.8	0.18	O
Calanus	19	8.8	0.23	O
Calanus	19	18.4	0.26	O
Calanus	19	18.4	0.23	O
Calanus	19	38.8	0.24	O
Calanus	19	38.8	0.12	O
Calanus	19	0.8	0.54	O
Calanus	19	0.8	0.56	O
Calanus	19	1.6	0.5	O
Calanus	19	1.6	0.47	O
Calanus	19	3.6	0.46	O
Calanus	19	3.6	0.45	O
Calanus	19	8.8	0.21	O
Calanus	19	8.8	0.27	O
Calanus	19	18.4	0.21	O
Calanus	19	18.4	0.13	O
Calanus	19	38.8	0.1	O
Calanus	19	38.8	0.15	O
Calanus	11	81	0.15	O
Calanus	14	81	0.027	O
Calanus	14	56.1	0.111	O
Calanus	14	56.1	0	O
Calanus	14	56.1	0	O
Calanus	14	56.1	0.047	O
Calanus	14	56.1	0.006	O
Calanus	14	56.1	0.076	O
Calanus	14	56.1	0.006	O
Calanus	14	56.1	0.147	O
Calanus	14	56.1	0.117	O
Calanus	14	56.1	0.07	O
Calanus	14	56.1	0.07	O
Calanus	14	56.1	0.026	O
Calanus	14	56.1	0	O
Calanus	14	56.1	0	O
Calanus	14	56.1	0.003	O
Calanus	14	56.1	0.026	O
Calanus	14	56.1	0.117	O
Calanus	14	56.1	0.021	O
Calanus	14	56.1	0	O
Calanus	14	56.1	0.003	O
Calanus	14	56.1	0.018	O
Calanus	14	56.1	0.035	O
Calanus	7.6	1.1	0.27	O
Calanus	7.6	1.1	0.1	O
Calanus	7.6	1.1	0.09	O
Calanus	7.6	22.8	0.04	O
Calanus	7.6	22.8	0.07	O
Calanus	7.6	22.8	0.05	O
Calanus	7.6	22.8	0.05	O
Calanus	7.6	72.1	0.08	O
Calanus	7.6	72.1	0.015	O
Calanus	7.6	72.1	0.025	O
Calanus	7.6	51.1	0.005	O
Calanus	7.6	51.1	0.003	O
Calanus	7.6	51.1	0.01	O
Calanus	3	95	0.026	O
Calanus	16.5	50	0.17	O
Calanus	16.5	50	0.13	O
Calanus	16.5	50	0.05	O
Calanus	16.5	50	0.13	O
Calanus	16.5	50	0.09	O
Calanus	16.5	50	0.11	O
Calanus	0	160	0.04	O
Calanus	0	160	0.036	O
Calanus	0	160	0.044	O
Calanus	160	0.015	18	O
Calanus	1.5	160	0.009	O
Calanus	1.5	160	0.048	O
Calanus	1.5	160	0.03	O
Calanus	2	160	0.035	O
Calanus	7.5	119.5	0.063	O
